Nombre,Score,Reviews,Descripcion,Direccion,CLASE
PARQUE DE LOS PATRICIOS,,10415.0,PARQUE LOCAL,AV. CASEROS 3021,PARQUES
PARQUE DE LA MEMORIA - MONUMENTO A LAS VICTIMAS DEL TERRORISMO DE ESTADO,,10053.0,PARQUE ESTATAL,AV. COSTANERA RAFAEL OBLIGADO 6745,PARQUES
PARQUE GENERAL PAZ,,10015.0,PARQUE,AV. GRAL. PAZ C131,PARQUES
PARQUE MUJERES ARGENTINAS,,9822.0,PARQUE,JUANA MANSO,PARQUES
PLAZA DR. BERNARDO HOUSSAY,,9805.0,PARQUE,AV. CORDOBA 2100,PARQUES SEMI PUBLICO
PLAZA SAN MARTIN,,9728.0,PARQUE,AV. 7,PLAZAS
PLAZA GENERAL PUEYRREDON - CABA,,8330.0,PARQUE,·,PLAZAS
BUENOS AIRES PLAYA,,7931.0,PARQUE,PARQUE DE LOS NIÑOS,PARQUES SEMI PUBLICO
PLAZA RODRIGUEZ PEÑA,,7396.0,PARQUE LOCAL,,PARQUES
PARQUE CNEL. JORDAN C. WYSOCKI,,7198.0,PARQUE,,PARQUES
PLAZA VICENTE LOPEZ,,7143.0,PARQUE,RECOLETA,PLAZAS
PLAZA ARISTOBULO DEL VALLE,,7069.0,PARQUE ESTATAL,CUENCA 2500,PARQUES
PLAZA GÜEMES,,6296.0,PARQUE,,PLAZAS
PARQUE AVELLANEDA,,6173.0,PARQUE,AV. DIRECTORIO,PARQUES
PARQUE MICAELA BASTIDAS,,6158.0,PARQUE,,PARQUES
